id,logo,text,labelAnnotations,logoAnnotations,textAnnotations,webDetection,bestGuessLabels,isRecycable
29,0,0,[u'material' u'metal' u'font' u'glass'],,,[u'Metal' u'Font'],[u'metal'],0
30,0,1,"[u'violet' u'purple' u'text' u'pink' u'font' u'magenta'
 u'computer wallpaper']",,[u'250\n\u0720 A\n9-\n' u'250' u'\u0720' u'A' u'9'],[u'Desktop Wallpaper' u'Map' u'Scale' u'Font' u'Computer' u'Wallpaper'],[u'escalas de los mapas'],1
31,0,1,[u'text' u'font' u'label' u'brand'],,"[u'\u043e\u0431\u0435\u0434\u0438\u0442\u0435\u043b\u0435\u0439, 1-\n\u0438\u0437\u0433\u043e\u0442\u043e\u0432\u043b\u0435\u043d\u0438\u044f, \u0418\u0441\u043f\nC/HDPE\n'
 u'\u043e\u0431\u0435\u0434\u0438\u0442\u0435\u043b\u0435\u0439' u',' u'1'
 u'-'
 u'\u0438\u0437\u0433\u043e\u0442\u043e\u0432\u043b\u0435\u043d\u0438\u044f'
 u',' u'\u0418\u0441\u043f' u'C' u'/' u'HDPE']","[u'Logistics' u'Plastic' u'Paper' u'Americanas.com' u'Recycling'
 u'Submarino' u'Shoptime' u'Label' u'Reverse logistics' u'Envase'
 u'Delivery' u'Polyethylene terephthalate' u'Kerbside collection' u'Resin'
 u'Container']",[u'Plastic'],0
32,0,1,[u'text' u'font' u'label' u'product' u'number'],,"[u'\u0440-\u043d,\n\u0432\u0430\u043d\u0430\n\u0430\u043d\u0435\n\u0441\n\u0441\u043b\u043e\u0432\u0435\n\u043c\u0438\u043d\u0430\u043b\u044c\u043d\u044b\u0439\n\u0440\u0435\u043c:\n'
 u'\u0440' u'-' u'\u043d' u',' u'\u0432\u0430\u043d\u0430'
 u'\u0430\u043d\u0435' u'\u0441' u'\u0441\u043b\u043e\u0432\u0435'
 u'\u043c\u0438\u043d\u0430\u043b\u044c\u043d\u044b\u0439'
 u'\u0440\u0435\u043c' u':']",[u'Font' u'Close-up'],[u'close up'],0
33,0,1,[u'text' u'label' u'font' u'product'],,"[u'\u0715\n\u0710\u0730\u0718 \u07204]FH\n9\n' u'\u0715'
 u'\u0710\u0730\u0718' u'\u0720' u'4' u']' u'FH' u'9']",[u'Font'],[u'label'],1
34,0,0,[u'green' u'yellow' u'text' u'font' u'product' u'sign'],,,"[u'Vector graphics' u'Reuse' u'Recycling' u'M.2' u'Recycling symbol'
 u'Electronic waste' u'Graphics' u'Image' u'Royalty-free' u'JPEG'
 u'Solid-state drive' u'Encapsulated PostScript' u'Adobe Illustrator'
 u'Clip art' u'Serial ATA']",[u'M.2'],1
35,1,1,[u'blue' u'text' u'font' u'angle' u'label' u'product' u'number'],[u'PVC'],[u'\u5173\nOK-\n' u'\u5173' u'OK'],"[u'Label' u'Font' u'Bottle' u'Printing' u'Angle' u'Sport' u'Ounce'
 u'Value']",[u'4allpromos 200 printed sport bottles - 26 oz value bottle'],1
36,0,1,[u'text' u'font' u'label' u'brand'],,"[u'76. \u041c\u043e\u0441\u043a\u0432\u0430, \u0443\u043b. \u0411\u043e\u0442\u0430\u043d\n\u041a\u0440\u0435\u0434\u043e \u041a\u0430\u043f\u0456\u0442\u0430\u043b\u0423\u043a\u0440\u0430\u0457\u043d\u0430\xbb\n\u0435\u0434 \u041e\u041e\u0414 \u041f\u043b\u043e\u0432\u0434\u0438\u0432\nredo-capit\n\u043e\u0434\u0456\n\u0410\u041f\u0410\u041a\n'
 u'76' u'.' u'\u041c\u043e\u0441\u043a\u0432\u0430' u',' u'\u0443\u043b'
 u'.' u'\u0411\u043e\u0442\u0430\u043d' u'\u041a\u0440\u0435\u0434\u043e'
 u'\u041a\u0430\u043f\u0456\u0442\u0430\u043b'
 u'\u0423\u043a\u0440\u0430\u0457\u043d\u0430' u'\xbb' u'\u0435\u0434'
 u'\u041e\u041e\u0414' u'\u041f\u043b\u043e\u0432\u0434\u0438\u0432'
 u'redo' u'-' u'capit' u'\u043e\u0434\u0456' u'\u0410\u041f\u0410\u041a']",[u'Font'],[u'label'],1
37,0,0,"[u'green' u'text' u'needlework' u'pattern' u'textile' u'font'
 u'cross stitch' u'design' u'material' u'stitch']",,,"[u'Polyethylene terephthalate' u'Plastic' u'High-density polyethylene'
 u'Polyethylene' u'Bottle' u'Plastic bottle' u'Plastic film' u'Material'
 u'Polypropylene' u'Polyester' u'Polymer' u'Recycling'
 u'Packaging and labeling' u'Industry' u'Terephthalic acid']",[u'Polyethylene terephthalate'],1
38,0,1,"[u'text' u'font' u'number' u'angle' u'product design' u'handwriting'
 u'symbol' u'writing']",,"[u'16, e-mail: bielita@ma\n107\n\u041c\u041b\n' u'16' u',' u'e' u'-'
 u'mail' u':' u'bielita' u'@' u'ma' u'107' u'\u041c\u041b']","[u'Plastic' u'Recycling' u'High-density polyethylene' u'Plastic recycling'
 u'Polyethylene' u'Recycling codes' u'Polyethylene terephthalate'
 u'Recycling symbol' u'Polyvinyl chloride' u'Plastic bottle'
 u'PET bottle recycling' u'Bottle' u'Packaging and labeling'
 u'Bis(2-ethylhexyl) phthalate' u'Phthalate']",[u'plastic 2'],0
39,0,1,[u'text' u'font' u'close up' u'square' u'brand'],,"[u'\u0420\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430\n\u0441\u0442\u0432\u043e \u041e\u041e\u041e \xab\u0420\u0443\u0441\u043e\u043a\u043e\nnstandsplat.ru. Pec\n7\nOTHER\n'
 u'\u0420\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430'
 u'\u0441\u0442\u0432\u043e' u'\u041e\u041e\u041e' u'\xab'
 u'\u0420\u0443\u0441\u043e\u043a\u043e' u'nstandsplat' u'.' u'ru' u'.'
 u'Pec' u'7' u'OTHER']","[u'Bucket' u'Drinking' u'Barrel' u'Taobao' u'Plastic' u'Liter'
 u'Packaging and labeling' u'Goods' u'Gamepad' u'Mouthwash' u'Price'
 u'Human mouth' u'Mouth' u'Stainless steel' u'Tooth']",[u'Bucket'],0

